"Chapter","Type","Number","Springer ID","Source file","Caption","Alt Text"
"Chapter 2: Classical Second Order PDEs and Separation of Variables","Figure","Fig. 2.1","fig2_1","figures/ch02/python/heat_evolution.pdf","Evolution of the heat equation solution with a triangle wave initial condition. The higher frequency modes decay rapidly, smoothing the initial corner at $x = pi$.","Line plot of temperature u versus position x on the interval zero to two pi, overlaying the heat equation solution at several increasing times. The initial curve is a sharp triangle wave peaking at x equals pi; as time grows the corner rounds off and successive curves flatten toward the constant equilibrium value pi over two, showing that high-frequency modes (decaying like e to the power minus n squared t) vanish fastest."
"Chapter 2: Classical Second Order PDEs and Separation of Variables","Figure","Fig. 2.2","fig2_2","figures/ch02/python/heat_waterfall.pdf","Waterfall plot showing the complete space-time evolution of the heat equation solution. The initial triangle wave smooths rapidly as higher frequency modes decay exponentially.","Three-dimensional waterfall surface of the heat equation solution u over the space axis x and the time axis t. The front edge is the sharp triangle wave; moving back in time the ridges smooth and collapse rapidly to a flat plateau at the mean value pi over two, visualizing exponential decay of the higher-frequency Fourier modes and the diffusive smoothing of the initial corner."
"Chapter 2: Classical Second Order PDEs and Separation of Variables","Figure","Fig. 2.3","fig2_3","figures/ch02/python/wave_evolution.pdf","Evolution of the wave equation solution with a plucked string initial condition. The string oscillates with period $T = 2 pi$ (with $L = pi$, $c = 1$ in this demonstration; the general formula is $T = 2 L / c$), inverting at $t = T/2$.","Line plot of string displacement u versus position x on zero to pi, showing the vibrating-string solution at several times across half a period. Starting from the triangular plucked shape, the curves shrink and pass through the flat axis, then grow into the inverted mirror-image triangle at t equals T over two, with amplitude conserved rather than decaying, illustrating undamped oscillation with period two pi."
"Chapter 2: Classical Second Order PDEs and Separation of Variables","Figure","Fig. 2.4","fig2_4","figures/ch02/python/wave_waterfall.pdf","Waterfall plot showing the complete space-time evolution of the wave equation solution over one period $T$. The plucked string oscillates between its initial shape and its mirror image.","Three-dimensional waterfall surface of the wave equation solution u over position x and time t spanning one full period. The triangular plucked profile sweeps back and forth between its initial shape and its inverted mirror image without any loss of amplitude, the repeating ridges showing periodic, energy-conserving oscillation in contrast to the decaying heat solution."
"Chapter 2: Classical Second Order PDEs and Separation of Variables","Figure","Fig. 2.5","fig2_5","figures/ch02/python/laplace_solution.pdf","Solution of the Laplace equation in the periodic strip with boundary data $f(x) = sin(x) + frac(1,2) sin(3x)$ at $y = 0$ and $u = 0$ at $y = 1$. Higher frequency modes decay faster toward the interior.","Two-dimensional color or contour map of the harmonic function u over the periodic strip, with horizontal axis x from zero to two pi and vertical axis y from zero to one. At the bottom boundary y equals zero the field reproduces the boundary data, a sine wave plus a smaller, higher-frequency triple-sine ripple; moving upward the pattern decays to zero at y equals one, with the n equals three component damping out much faster than the n equals one component, demonstrating harmonic smoothing into the interior."
"Chapter 3: Mise en Bouche","Table","Table 3.1","tbl3_1","live text table (no image file)","Comparison of exact and three-coefficient collocation approximation.","A five-row table listing x, the exact solution, the three-coefficient collocation approximation, and their error at x equal to minus one, minus one half, zero, one half, and one; the error is zero at the endpoints and reaches about minus two times ten to the power minus two near the interior, showing the low-order approximation is accurate to a couple percent."
"Chapter 3: Mise en Bouche","Figure","Fig. 3.1","fig3_1","figures/ch03/python/collocation_example1.pdf","Left: exact solution $u(x) = e^(x^2 - 1)$ compared with the three-coefficient collocation approximation. The collocation points $x = -1/2, 0, 1/2$ are marked with squares. Right: the error $u_""exact"" - u_""approx""$.","Two side-by-side line plots over the interval from minus one to one. Left panel: the exact solution u of x equals e to the power x squared minus one plotted against the three-coefficient collocation approximation; the two curves are nearly indistinguishable U-shapes rising from about 0.37 at the center to one at the endpoints, with the three collocation points at minus one half, zero, and one half marked by squares. Right panel: the difference exact minus approximate, a smooth oscillatory error curve that crosses zero exactly at the three collocation points and the endpoints, peaking around two times ten to the power minus two, confirming the approximation is accurate to a couple percent."
"Chapter 3: Mise en Bouche","Table","Table 3.2","tbl3_2","live text table (no image file)","Comparison of spectral approximationspectral approximations at the central maximum.","A three-row table comparing the exact value, the collocation approximation, and the Galerkin approximation of the solution at the central point x equal zero, with absolute errors; both two-coefficient methods reproduce the maximum value near 0.183, with Galerkin slightly more accurate (error about three ten-thousandths versus six ten-thousandths for collocation)."
"Chapter 3: Mise en Bouche","Figure","Fig. 3.2","fig3_2","figures/ch03/python/collocation_vs_galerkin.pdf","Left: exact solution compared with collocation and Galerkin approximations. The collocation points $x = 0$ and $x = 0.5$ are marked. Right: error profiles for both methods.","Two side-by-side line plots over the interval from minus one to one for the reaction-diffusion problem. Left panel: the exact solution, an inverted-bell curve peaking near 0.18 at the center and vanishing at both endpoints, overlaid with the collocation and Galerkin approximations, all three essentially coinciding; the collocation points at x equal zero and x equal one half are marked. Right panel: the error profiles of both methods, where the Galerkin error stays uniformly closer to zero across the whole interval than the collocation error, illustrating Galerkin's better global accuracy."
"Chapter 3: Mise en Bouche","Figure","Fig. 3.3","fig3_3","drawn vector illustration (no image file)","Schematic comparison of local (finite element) and global (spectral) basis functions. The finite element ""hat function"" is non-zero only over two adjacent elements, while the spectral basis function oscillates across the entire domain.","Side-by-side schematic comparing the support of finite element and spectral basis functions. The left panel shows a finite element hat function: a piecewise-linear triangular spike that is nonzero only over two adjacent mesh elements (marked along a tick-spaced axis) and zero everywhere else, labeled local support. The right panel shows a spectral basis function: a high-frequency polynomial that oscillates up and down across the entire domain, labeled global support. The contrast conveys that finite element bases act locally while spectral bases influence the solution everywhere."
"Chapter 3: Mise en Bouche","Figure","Fig. 3.4","fig3_4","drawn vector illustration (no image file)","Three strategies for improving accuracy in numerical methods. Spectral methods employ $p$-refinement: increasing the polynomial degree while using a single element (or few elements) spanning the entire domain.","A three-column schematic illustrating refinement strategies, each showing a before state above and an after state below joined by a downward arrow. Left, h-refinement: a coarse two-cell mesh becomes a finer four-cell mesh of equal-width elements, labeled smaller elements. Middle, r-refinement: a uniform four-cell mesh becomes one with the same number of cells redistributed so points cluster on the sides, labeled adaptive redistribution. Right, p-refinement: a low-degree curve labeled p equals two becomes a high-degree oscillating curve labeled p equals eight on the same single element, labeled higher polynomial degree, which is the strategy spectral methods use."
